model,model_group,finding,dimension,auroc_gap,gap_ci_lo,gap_ci_hi,sens_gap,spec_gap,fpr_gap,fnr_gap,ece_gap
XRV-DenseNet-nih,clean,Edema,Age,0.06318021289632658,0.04074343497300621,0.08612899292391472,0.023535742875519405,0.1332306980207485,0.1332306980207485,0.023535742875519405,0.006637613560154349
XRV-DenseNet-nih,clean,Edema,Race,0.03404406126550419,0.014808625973992512,0.07675158425080138,0.08236244286352545,0.02007010402532794,0.02007010402532794,0.08236244286352545,0.018575822279892844
XRV-DenseNet-nih,clean,Enlarged Cardiomediastinum,Gender,0.014698163864016456,0.000704487735903131,0.04786871540738436,0.06936445819163661,0.013428341900214913,0.013428341900214913,0.06936445819163661,0.0011424221412358812
XRV-DenseNet-nih,clean,Enlarged Cardiomediastinum,Age,0.042747402764643505,0.015083829225651718,0.0831296031968286,0.1362906678082192,0.23044894860459786,0.23044894860459786,0.1362906678082192,0.009735881219861998
XRV-DenseNet-nih,clean,Enlarged Cardiomediastinum,Race,0.02000171719888555,0.015436994170563531,0.11041974480794861,0.06284916201117319,0.04283514791597931,0.04283514791597931,0.06284916201117319,0.014765363577437789
XRV-DenseNet-nih,clean,Lung Opacity,Gender,0.007915848624816202,0.000964396276796567,0.04910962682796964,0.05688321768386251,0.06164651325811188,0.06164651325811188,0.05688321768386251,0.0022098970937514777
XRV-DenseNet-nih,clean,Lung Opacity,Age,0.05364538399305585,0.014183682889480909,0.1039569664069978,0.09925050484418152,0.20776307785888082,0.20776307785888082,0.09925050484418152,0.006970639660546609
XRV-DenseNet-nih,clean,Lung Opacity,Race,0.07861285806463225,0.030566275249905756,0.18977929122673354,0.0793084052725539,0.07051282051282048,0.07051282051282048,0.0793084052725539,0.006852209977518665
XRV-DenseNet-nih,clean,Pleural Effusion,Gender,0.01441695051223646,0.002589432317958071,0.02688097503997279,0.05898103745610961,0.03622844630964328,0.03622844630964328,0.05898103745610961,0.008990987355929052
XRV-DenseNet-nih,clean,Pleural Effusion,Age,0.046224205174929756,0.028568866468408182,0.06341328343160664,0.08424034567925309,0.19638028390812357,0.19638028390812357,0.08424034567925309,0.02239874911671877
